channel_order,channel_name,program_order,program_title,start_time_raw,end_time_raw,duration_raw,release_year,rating,genres_raw,season_number,episode_number,episode_title,synopsis
48,BOOM-E,10,,,,10 min,1943,PG,Animation / Adventure / Comedy / Family / Romance,11,8,Wood-Peckin',"Popeye finds a tall tree that would make the perfect mast for his new boat, so he prepares to cut it down, but a woodpecker that lives in the tree objects to this idea and does whatever it can..."
49,BRAVO,1,Next Gen NYC,1:30 PM,2:30 PM,1 hr,2026,,,,,,"Shai and Rowan host a Halloween party in Brooklyn where Shai and Charlie put Liam in the hot seat. Ariana confronts Shai for meddling in her love life. Emira attempts to end ""flirt-gate"" by..."
49,BRAVO,2,Watch What Happens: Live,2:30 PM,3:00 PM,30 min,2026,TV-14,Talk-Show,23,121,Kristen Doute & Ariana Biermann,TV personalities Ariana Biermann and Kristen Doute.
49,BRAVO,3,The Kelly Clarkson Show,3:00 PM,4:00 PM,1 hr,2026,,Music / Talk-Show,7,174,Season 7 Episode 174,"Grammy Award-winning artist Kelly Clarkson interviews some of the biggest stars in the entertainment industry, spotlights individuals who have made a difference in their communities, and..."
50,TOON-E,1,,,,29 min,2022,TV-14,Animation / Comedy,19,6,American Dad Graffito,"Stan discovers that his favorite 1950s diner is closing, so he tries to ignite some 1950s enthusiasm to save the restaurant; Hayley takes advantage of the diner's closing by lobbying to be the..."
50,TOON-E,2,American Dad!,1:32 PM,2:01 PM,29 min,2022,TV-14,Animation / Comedy,19,7,Beyond the Alcove or: How I Learned to Stop Worrying and Love Klaus,Francine promises to take Klaus down because she is jealous of his improvements.
50,TOON-E,3,American Dad!,2:01 PM,2:30 PM,29 min,2022,TV-14,Animation / Comedy,19,8,A Song of Knives and Fire,Stan and Francine assess their relationship and add some much-needed fire.
50,TOON-E,4,Rick and Morty,2:30 PM,3:00 PM,30 min,2026,TV-14,Animation / Adventure / Comedy / Sci-Fi,9,9,Salute Your Morts,"Morty and Summer go to camp, broh. Beth and Jerry home alone, broh."
50,TOON-E,5,Rick and Morty,3:00 PM,3:30 PM,30 min,2017,TV-14,Animation / Adventure / Comedy / Sci-Fi,3,3,Pickle Rick,"Rick's daughter named Beth decides to take her two children known as Summer and Morty Smith to a family therapy session, but her plans goes awry when her father Rick manages to turn himself..."
51,CMTV,1,The Golden Girls,1:30 PM,2:00 PM,30 min,1986,TV-PG,Comedy / Drama,2,10,"Love, Rose","Blanche and Dorothy create a fictional admirer to answer Rose's personal ad, but the meddlesome roommates are left scrambling when she decides to invite who she believes to be her imaginary..."
51,CMTV,2,CMT Music,2:00 PM,3:00 PM,1 hr,2006,TV-PG,,,,,"CMT presents a selection of music videos from some of the hottest country music artists, showcasing a block of back-to-back hits performed by up-and-coming country music stars, as well as..."
51,CMTV,3,CMT Music,3:00 PM,4:00 PM,1 hr,2006,TV-PG,,,,,"CMT presents a selection of music videos from some of the hottest country music artists, showcasing a block of back-to-back hits performed by up-and-coming country music stars, as well as..."
52,CMDY-E,1,South Park,1:30 PM,2:00 PM,30 min,2004,TV-MA,,,,,"The town of South Park suddenly takes on the look of Japanese anime; Butters is horribly wounded when Stan, Kyle, Kenny and Cartman become warriors and conspire to purchase dangerous, illegal..."
52,CMDY-E,2,South Park,2:00 PM,2:30 PM,30 min,2004,TV-MA,,,,,"Cartman dresses up like a robot and moves in with Butters so that he can learn all his secrets and use them against him; the United States Army believes Cartman is a new secret weapon, while..."
52,CMDY-E,3,South Park,2:30 PM,3:00 PM,30 min,2004,TV-MA,,,,,"Cartman decides to pose as a mentally-challenged athlete in hopes of winning a $1,000 prize at the Special Olympics; as he trains for the event, Jimmy is forced to take illegal steps to remain..."
52,CMDY-E,4,South Park,3:00 PM,3:30 PM,30 min,2004,TV-MA,,,,,Kyle experiences a crisis of faith after a controversial religious film seemingly validates every racist statement Cartman has made about the Jewish faith; Cartman teams up with fans of the...
53,COOKING,1,Kids Baking Championship,1:00 PM,2:00 PM,1 hr,2016,,Game-Show / Reality-TV,2,3,'Hot' Chocolate,"Valerie Bertinelli and Duff Goldman ask the remaining bakers to incorporate chilies, peppers, and cayenne into the chocolate items the bakers prepared causing the kids to be able to balance..."
53,COOKING,2,Kids Baking Championship,2:00 PM,3:00 PM,1 hr,2016,,Game-Show / Reality-TV,2,4,Macaron Stackaron,"The seven remaining kid bakers are challenged with preparing what is being called ""the new cupcake,"" the French macaron, said to be extremely demanding, and producing three dozen colorful..."
53,COOKING,3,Paid Program,3:00 PM,3:30 PM,30 min,,G,,,,,Sponsored television programming.
54,CRIMEINV,1,Cold Case Files,1:00 PM,2:00 PM,1 hr,2017,TV-14,Documentary / Crime,1,5,The Night Shift,A college student disappears from his graveyard shift at a gas station; new forensic technology and the discovery of an illegal drug ring in a squeaky-clean town helps police solve the case...
54,CRIMEINV,2,Cold Case Files,2:00 PM,3:00 PM,1 hr,2022,TV-14,Documentary / Crime,2,8,Ice Cold in Denver,Radio intern Helene Pruszynski is found brutalized in a snowy field in 1980; the case goes cold for 37 years until investigators use a public genealogy website that leads them across the...
54,CRIMEINV,3,Cold Case Files,3:00 PM,4:00 PM,1 hr,2022,TV-14,Documentary / Crime,2,15,Friday Night Ghosts,"After five people are found murdered in an oil field in 1983, the authorities name a well-connected local man as their main suspect, but new evidence reveals that the true killers had been..."
55,DESTAMER,1,BBQ Pitmasters,1:00 PM,2:00 PM,1 hr,2012,TV-PG,Reality-TV,3,5,"Doctors, Divas and 2 Worthless Nuts","The competition pits potential Pitmasters against one another in Salisbury, Md., where Purdue Chicken got its humble start, which is why the competitors are tasked with creating various..."
55,DESTAMER,2,BBQ Pitmasters,2:00 PM,3:00 PM,1 hr,2012,TV-PG,Reality-TV,3,6,The Grand Porkin' Finale,"Finalists come together for one last competitive showdown, where their barbecue skills are put to the ultimate test and only one worthy challenger will be able to walk away with the..."
55,DESTAMER,3,Beachfront Bargain Hunt,3:00 PM,3:30 PM,30 min,2021,,Documentary / Family,27,2,Cozying Up to a House on the Canal in Jamaica Beach,"A family of five who enjoys spending time in Galveston, Texas, wants to find peace and quiet in the nearby city of Jamaica Beach, Texas, so they're on the hunt for a turnkey abode that boasts..."
56,TDC-E,1,Expedition Unknown,1:30 PM,3:00 PM,1 hr 30 min,2020,TV-PG,Adventure / Mystery / Reality-TV,8,2,Searching for America's Lost Flight,Host Josh Gates investigates one of the most mysterious airline disasters in the history of the United States as he attempts to uncover why Northwest Flight 2501 seemingly disappeared out of...
56,TDC-E,2,Hustlers Gamblers Crooks,3:00 PM,4:00 PM,1 hr,,,,,,,A mortgage fraudster steals millions and reconstructs his face to avoid the FBI.
57,DFCH,1,Food Paradise,1:00 PM,2:00 PM,1 hr,2021,,Reality-TV,,,,"A basic burger in Las Vegas costs only seven dollars, a wasabi mashed potato burger serves a unique taste and a huge backyard barbecue masterpiece is on a bun."
57,DFCH,2,Bakery Boss,2:00 PM,3:00 PM,1 hr,,TV-PG,,,,,"Visiting a bakery run like a soap opera, full of drama and spice."
57,DFCH,3,Kitchen Crashers,3:00 PM,3:30 PM,30 min,2016,,Reality-TV,,,,"Alison and the crew find a couple that is very much into art and they want a kitchen to match their style; after a full demo, new cabinets in two finishes, white countertops, lighting, and..."
58,DLIF,1,My 600-lb Life,1:00 PM,3:00 PM,2 hrs,2024,TV-PG,Reality-TV,12,7,Charles' Journey,"After quitting his drug addiction, a man instead became addicted to food and soon found himself unable to stop even as he continues to put on weight."
58,DLIF,2,My 600-lb Life,3:00 PM,5:00 PM,2 hrs,2020,TV-PG,Reality-TV,8,1,John & Lonnie's Story,"Despite being on opposite ends of the spectrum and estranged for many years, brothers Lonnie and John find common ground when they make it their goal to live a healthier lifestyle and..."
59,DIS-E,1,Big City Greens,1:30 PM,2:00 PM,30 min,2022,TV-Y7,Animation / Adventure / Comedy / Family,3,2,Boss Life; Papaganda,"Gloria's café has a perfect rating, and she works hard to keep it that way until someone gives her a B rating; Bill drags his family along on a blackberry picking adventure and enforces a..."
59,DIS-E,2,Big City Greens,2:00 PM,2:30 PM,30 min,2022,TV-Y7,Animation / Adventure / Comedy / Family,3,3,Little Buddy; Zen Garden,"A wild child needs Cricket's guidance, so he steps up as a mentor and Tilly develops a loyal underground following; Nancy works to prove she can be useful on the farm while Bill tries and..."
59,DIS-E,3,Big City Greens,2:30 PM,3:00 PM,30 min,2022,TV-Y7,Animation / Adventure / Comedy / Family,3,4,No Service; Takened,"A convenience store's ""No Shoes, No Service"" policy stops Cricket in his barefooted tracks and forces him to borrow Tilly's shoes; Bill struggles to keep a secret after he learns that Remy is..."
59,DIS-E,4,Kiff,3:00 PM,3:30 PM,30 min,2023,TV-Y7,Animation / Short / Adventure / Comedy / Family / Fantasy / Musical,1,15,Mall Leader; Ghost Wolf's Art,Kiff discovers the burdens of leadership while leading a group to the mall for free pretzels; Kiff and Barry hope to learn about the mysterious Ghost Wolf.
60,DISNEYJR,1,BeddyByes,1:10 PM,1:35 PM,25 min,2026,,,,,,"Join MeMo and BaBa as they encounter all kinds of fantastical beings that encourage good nutrition, mindfulness and creativity, all the while winding down towards sleep."
60,DISNEYJR,2,Disney's Mickey Mouse Clubhouse,1:35 PM,2:00 PM,25 min,2016,TV-Y,Animation / Adventure / Comedy / Family / Fantasy / Musical,5,13,Chef Goofy on the Go!,"Mickey and the rest of the friends assist Goofy with completing his food deliveries for his lunch truck, which he calls ""Chef Goofy on the Go."""
60,DISNEYJR,3,Disney's Mickey Mouse Clubhouse,2:00 PM,2:25 PM,25 min,2015,TV-Y,Animation / Adventure / Comedy / Family / Fantasy / Musical,5,7,Mickey's Mousekeball,"When Professor Von Drake introduces Mickey and his friends to a new innovative sport, the ball they're using gets away from them, so they are forced to change their playing field to the..."
60,DISNEYJR,4,Bluey,2:25 PM,2:50 PM,25 min,2023,TV-Y,,,,,"Mum encourages the family to play musical statues; Indy feels disappointed in her model horse, but her pals encourage her to not give up; Bluey and Bingo teach Unicorse good manners so that he..."
60,DISNEYJR,5,Bluey,2:50 PM,3:15 PM,25 min,2020,TV-Y,,,,,Bluey and Bingo make their own miniature-sized homes in a shopping cart; Bingo uses magic to make thinks heavy when she isn't asked to attend Chloe's party; Bingo tries to put her mother and...
60,DISNEYJR,6,,,,25 min,2017,TV-Y,Animation / Short / Adventure / Comedy / Family / Musical / Sport,1,4,Agent Double-O-Goof; Egg-xasperating,"Everybody makes preparations for the Queen of England to make an appearance for tea; Goofy is mistakenly believed to be a secret agent; while Clara Cluck is away running errands, the Happy..."
61,DISNEYXD,1,Big Hero 6,1:30 PM,2:00 PM,30 min,2020,TV-Y7,Animation / Action / Adventure / Comedy / Family / Sci-Fi,3,1,The Hyper-potamus Pizza-Party-torium,"Lacking certain members, the team tries to prevent Noodle Burger Boy from achieving his goals while he is aided by his new family."
61,DISNEYXD,2,DuckTales,2:00 PM,2:30 PM,30 min,2019,TV-Y7,Animation / Action / Adventure / Comedy / Drama / Family / Fantasy / Mystery / Sci-Fi,2,17,What Ever Happened to Donald Duck?!,Donald and Penumbra are forced to figure out how to escape from Moon Prison before they can warn planet Earth about an impending invasion; Dewey and Webby happen upon an evil conspiracy that...
61,DISNEYXD,3,DuckTales,2:30 PM,3:00 PM,30 min,2019,TV-Y7,Animation / Action / Adventure / Comedy / Drama / Family / Fantasy / Mystery / Sci-Fi,2,19,A Nightmare on Killmotor Hill,"The children are drawn into a magical world that is comprised of their most exotic dreams, but the situation takes a dark turn when Lena's worst nightmare is actualized, where Magica De Spell..."
61,DISNEYXD,4,Amphibia,3:00 PM,3:30 PM,30 min,2019,TV-Y7,Animation / Action / Adventure / Comedy / Drama / Family / Fantasy / Mystery / Sci-Fi,1,16,Family Fishing Trip; Bizarre Bazaar,"Sprig hopes to spend more time with Hop Pop while the family is out on a fishing trip, but one of Hop Pop's friend keeps getting in the way; Anne loses her music box while explores the strange..."
62,ETV-E,1,Royal Rendezvous,1:00 PM,3:00 PM,2 hrs,2023,,Comedy / Romance,,,,"A chef from eastern Los Angeles is offered to visit Ireland and cook a royal feast meant to distract a Lord's grandmother from selling a cherished manor, which leads to unexpected romances..."
62,ETV-E,2,Arranged Love,3:00 PM,5:00 PM,2 hrs,2023,,,,,,"A woman fled an arranged marriage and left her inheritance behind to run her own startup, but when a problem threatens her company, she decides to pretend to be married to a man so she can..."
63,FOODTV,1,Guy's Grocery Games,1:00 PM,2:00 PM,1 hr,2026,,Game-Show / Reality-TV,41,4,Food Family Takeover,Three restaurant crews featuring family and longtime employees compete.
63,FOODTV,2,Guy's Grocery Games,2:00 PM,3:00 PM,1 hr,2025,,Game-Show / Reality-TV,38,4,Masters of Cheese,Four cheese-loving chefs face off in two Muenster-sized challenges in which Guy Fieri rolls a cheese die to determine who many types of cheese they must use in their dishes on their way to...
63,FOODTV,3,Guy's Grocery Games,3:00 PM,4:00 PM,1 hr,2025,,Game-Show / Reality-TV,39,11,Super Spicy Games,"our chefs obsessed with spice bring the heat with a hometown dish, and then Guy Fieri challenges them to create an upscale spicy dinner featuring ingredients chosen from a pyramid of fire for..."
64,FREEFRM,1,What’s Your Injury Case Worth?,1:30 PM,2:00 PM,30 min,,G,,,,,Legal professionals standing by 24/7. Call now for your free case evaluation!
64,FREEFRM,2,The 700 Club,2:00 PM,3:00 PM,1 hr,2026,,News / Talk-Show,60,145,Season 60 Episode 145,"Host and Reverend Pat Robertson joins a panel of guests for a discussion of religious commentary on news events, featured stories, contemporary music, interviews, testamonies, politics, the..."
64,FREEFRM,3,Paid Program,3:00 PM,3:30 PM,30 min,,G,,,,,Sponsored television programming.
65,FX-E,1,Man on Fire,1:00 PM,4:00 PM,3 hrs,2004,R,Action / Crime / Thriller / Drama,,,,"An aging and cynical former-government agent is recruited by a wealthy couple in Mexico City to help protect their little girl from kidnappers, and he soon begins to grow close to the girl and..."
66,FXX,1,King of the Hill,1:30 PM,2:00 PM,30 min,2008,TV-PG,Animation / Comedy / Drama,12,11,Trans-Fascism,"The Arlen City Council's ban on foods containing trans-fats leads Hank to get involved in a dirty battle between two rival lunch trucks that are trying to traffic their tasty, unhealthy fare..."
66,FXX,2,King of the Hill,2:00 PM,2:30 PM,30 min,2008,TV-PG,Animation / Comedy / Drama,12,12,Three Men and a Bastard,"Bill starts dating a single mother; but when Dale suspects that the woman's oldest child may in fact be his own offspring, he recruits John Redcorn to ruin the romance by seducing her, which..."
66,FXX,3,King of the Hill,2:30 PM,3:00 PM,30 min,2008,TV-PG,Animation / Comedy / Drama,12,13,Accidental Terrorist,"Hank is distraught to discover that his trusted car salesman has been swindling him for years, but when he tries to take action to expose the fraud he ends up getting blamed for an act of..."
66,FXX,4,Paid Program,3:00 PM,3:30 PM,30 min,,G,,,,,Sponsored television programming.
67,FXM,1,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight,12:10 PM,2:50 PM,2 hrs 40 min,2023,PG-13,Biography / Drama / Sport,,,,"Former boxer George Foreman finds his faith, retires and becomes a preacher but when financial hardship hits his family and church, he steps back in the ring and regains the championship at..."
67,FXM,2,Carousel,2:50 PM,5:00 PM,2 hrs 10 min,1956,G,Drama / Fantasy / Musical,,,,"A wild carnival barker with a penchant for getting into trouble falls in love with and marries a beautiful factory worker, but their relationship doesn't go smoothly after he loses his job and..."
68,FYI,1,24 Hour Flip,1:00 PM,2:01 PM,1 hr 1 min,2023,TV-PG,,1,4,Flushed in West Milford,"Michelle and Jon work on a monstrous house as they venture outside of their comfort zone, and they have a hard time renovating the home's three bathrooms while also contending with supply..."
68,FYI,2,24 Hour Flip,2:01 PM,3:00 PM,59 min,2023,TV-PG,,1,3,Hasbrouck Heights Duplex Delights,"Jon and Michelle worry that a multi-family home in Hasbrouck Heights may be their first big failure because even though the duplex has a relatively small total living space, it consists of..."
68,FYI,3,24 Hour Flip,3:00 PM,4:00 PM,1 hr,2023,TV-PG,,1,2,Flips Ahoy in South Amboy,"Jon and Michelle work with their project managers to update an outdated single-family home into a modern retreat in only 24 hours, and they contend with a broken sewer pipe, missing floors and..."
69,GACFAM,1,A Royal Icing Christmas,1:00 PM,3:00 PM,2 hrs,2025,,,,,,"Princess Charlotte of Marovia escapes the palace to pursue her passion for cooking; she enters a Christmas baking contest under an alias, where she finds love-and the courage to embrace her..."
69,GACFAM,2,Christmas on Candy Cane Lane,3:00 PM,5:00 PM,2 hrs,2022,TV-PG,Comedy / Family / Romance,,,,"A town cop is excited to celebrate her first Christmas in her new home, until she finds out that her neighbors expect her keep up the holiday tradition of going all out on holiday home..."
70,GSN,1,Jeopardy!,1:30 PM,2:00 PM,30 min,2020,,Game-Show,37,18,Episode #37.18,A returning champion and two challengers test their buzzer skills and their knowledge in a wide range of academic and popular categories as they vie for a cash prize in the classic trivia game...
70,GSN,2,Family Feud,2:00 PM,2:30 PM,30 min,2022,TV-PG,Comedy / Game-Show,23,83,Episode #23.83,Two families composed of five members each compete against each other in a contest to see who can match more of their answers to survey questions with the most popular answers to the same...
70,GSN,3,Family Feud,2:30 PM,3:00 PM,30 min,2022,TV-PG,Comedy / Game-Show,23,85,Episode #23.85,Two families composed of five members each compete against each other in a contest to see who can match more of their answers to survey questions with the most popular answers to the same...
70,GSN,4,Bath Makeover,3:00 PM,3:30 PM,30 min,,G,,,,,Transform your bath affordably in just one day!
71,HALMRK,1,The Waltons,1:00 PM,2:00 PM,1 hr,1977,,Drama / Romance / Family,5,17,The Career Girl,"Erin has graduated from high school, but just as she was before graduating, she still has no direction where she wants her life to head, taking advice from anyone she can get to either go to..."
71,HALMRK,2,The Waltons,2:00 PM,3:00 PM,1 hr,1977,,Drama / Romance / Family,5,18,The Hero,"John-Boy plans a gathering to salute the members of the county involved in World War II, but when he seeks help to plan it all out, he gets a less-than-interested response from the..."
71,HALMRK,3,The Waltons,3:00 PM,4:00 PM,1 hr,1977,,Drama / Romance / Family,5,19,The Inferno,"John-Boy makes a trip out to Lakehurst, New Jersey, to deliver a report about the landing of the Hindenburg; Curt tries to seek more alone time with Mary Ellen to keep the feelings between..."
72,HALLDRM,1,Heartland,1:00 PM,2:00 PM,1 hr,2011,TV-PG,,,,,Amy fights to keep Dexter in the family when she learns Tim is putting the horse up for sale in a claiming race.
72,HALLDRM,2,Highway to Heaven,2:00 PM,3:00 PM,1 hr,1989,TV-PG,Drama / Fantasy,5,4,The Silent Bell,"A pastor attempts to change the decision of the church, which wishes for him to begin teaching lessons of religion within his preschool, and his belief in respect for other cultures stops him..."
72,HALLDRM,3,Highway to Heaven,3:00 PM,4:00 PM,1 hr,1989,TV-PG,Drama / Fantasy,5,5,The Reunion,"Mark Gordon goes to his five-year class reunion only to find out that the joyous occasion is far from what he expected it to be, and the prom queen ironically happens to feel extremely out of..."
73,HALLMYS,1,"Murder, She Wrote",1:00 PM,2:00 PM,1 hr,1992,TV-PG,Crime / Mystery / Drama,8,19,Day of the Dead,The theft of a priceless artifact from a Mexico City museum leads Jessica into a labyrinth of clues where murder is the fact behind the Mask of Montezuma.
73,HALLMYS,2,"Murder, She Wrote",2:00 PM,3:00 PM,1 hr,1992,TV-PG,Crime / Mystery / Drama,8,20,Angel of Death,"While Jessica is in California to console a well-known playwright haunted by his wife's suicide, another family is murdered."
73,HALLMYS,3,"Murder, She Wrote",3:00 PM,4:00 PM,1 hr,1992,TV-PG,Crime / Mystery / Drama,8,15,"Tinker, Tailor, Liar, Thief",Jessica finds herself involved in a cover up for a British Intelligence operation which involves a double murder; she claims to have found a dead body in her hotel room in London but after it...
74,HGTV,1,,,,30 min,2026,,Reality-TV,,,,A couple with three children is feeling crowded in their current home and looking for more space in the Mojave Desert.
74,HGTV,2,House Hunters,1:31 PM,2:00 PM,30 min,2026,,Reality-TV,,,,A couple with three children is feeling crowded in their current home and looking for more space in the Mojave Desert.
74,HGTV,3,Ugliest House in America,2:00 PM,3:00 PM,29 min,2026,,Reality-TV,,,,"A Denver couple's moving to be closer to their son in Seattle. They want a place with plenty of room to entertain family, but high prices and their fear of gloomy weather is making it hard to..."
74,HGTV,4,Scariest House in America,3:00 PM,4:00 PM,1 hr,2025,,Reality-TV,2,6,From Scary to Stunning,"The road trip comes to an end as Retta reveals the winner of the Scariest House in America, which receives a $150,000 home renovation from HGTV's Alison Victoria, transforming their once scary..."
75,THC,1,,,,58 min,2026,TV-PG,Game-Show / Reality-TV,11,21,Can With a Plan,The contestants will be tasked with an intriguing project: they must devise a strategy to use three different types of steel to forge a canister Damascus blade. This unique twist promises to...
75,THC,2,Alone,1:33 PM,2:32 PM,59 min,2026,TV-14,Drama,13,6,Thin Margins,"As the survivalists find a brief window to regroup and refocus, the Arctic continues to test their resolve; one participant gets their chance at big game, while another faces a lynx who puts..."
75,THC,3,Alone: The Skills Challenge,2:32 PM,3:01 PM,29 min,2022,TV-PG,Reality-TV,1,8,Supersized Deadfall Trap,"Previous contestants come back to take on a unique challenge and build massive deadfall traps with only a limited number of tools, all before being judged in the moment by expert survivalist..."
75,THC,4,Paid Program,3:01 PM,3:30 PM,29 min,,G,,,,,Sponsored television programming.
76,IFC,1,Three's Company,1:30 PM,2:00 PM,30 min,1979,TV-PG,Comedy,4,14,The Reverend Steps Out,"Chrissy catches her father spending time with an unfamiliar woman and assumes that he is cheating on her mother; Reverend Snow has a chance at a new job in Santa Monica, but it requires that..."
76,IFC,2,Three's Company,2:00 PM,2:30 PM,30 min,1980,TV-PG,Comedy,4,15,Larry Loves Janet,"Larry attempts to woo ""nice girl"" Janet after she comforts him following a particularly unsuccessful date, and Janet attempts to change Larry's mind about her by transforming herself into the..."
76,IFC,3,Three's Company,2:30 PM,3:00 PM,30 min,1980,TV-PG,Comedy,4,16,Mighty Mouth,"Jack attempts to impress a woman who works at a health spa by pretending to be athletically gifted, but problems soon arise when he buys a membership and the woman's overprotective,..."
76,IFC,4,Three's Company,3:00 PM,3:30 PM,30 min,1980,TV-PG,Comedy,4,17,The Love Lesson,"After catching Jack kissing a woman and then being told a lie to cover up, Mr. Furley begins to believe that Jack is becoming attracted to the opposite sex and offers to give his tenant a few..."
77,ID,1,See No Evil,1:00 PM,2:00 PM,1 hr,2025,TV-14,Documentary / Crime,10,14,Cul-de-sac,"After the murder of Johnny Soekhies in Alabama, authorities turn to CCTV to hunt his killer, and the footage reveals a vehicle driving Johnny to the place of his eventual murder and captures a..."
77,ID,2,Body Cam,2:00 PM,3:00 PM,1 hr,2026,TV-14,Documentary,6,5,Risking it All,"In New Mexico, a car chase ends dramatically with lasting consequences for a lieutenant, and a lone officer must keep her cool to safely detain a homicide suspect. In California, officers..."
77,ID,3,See No Evil,3:00 PM,4:00 PM,1 hr,2014,TV-14,Documentary / Crime,1,5,View to a Rampage,"A newly engaged couple is brutally murdered in an abandoned parking lot in Irvine, Calif., and as the investigating officers set out to bring the killers to justice, they must rely on the only..."
78,LIF-E,1,Rizzoli & Isles,1:04 PM,2:04 PM,1 hr,2015,TV-14,Crime / Mystery / Drama,5,18,Family Matters,"When the squad begins to investigate a case that involves a wife having found her husband murdered, some of the evidence that they begin to uncover seems to point to the wife having lived a..."
78,LIF-E,2,Rizzoli & Isles,2:04 PM,3:02 PM,58 min,2015,TV-14,Crime / Mystery / Drama,6,1,The Platform,"When a member of the team appears to have shot an unarmed man on a Boston subway platform, they have to race against an Internal Affairs investigation in order to find the true killer, but the..."
78,LIF-E,3,Paid Program,3:02 PM,3:32 PM,30 min,,G,,,,,Sponsored television programming.
79,LMN,1,Yoga Teacher Killer: The Kaitlin Armstrong Story,1:01 PM,3:02 PM,2 hrs 1 min,2024,TV-14,Drama / Crime,,,,"When a professional cyclist is found dead following a short-lived affair with a fellow athlete, all the clues point to the crime being an act of jealousy at the hands of a yoga teacher, who..."
79,LMN,2,Paid Program,3:02 PM,3:32 PM,30 min,,G,,,,,Sponsored television programming.
80,LOGO,1,RuPaul's Drag Race,1:00 PM,2:00 PM,1 hr,2012,TV-14,Game-Show / Reality-TV,4,6,Float Your Boat,"The ladies are assigned colors to work with off of the rainbow flag for a pride parade runway challenge; after designing boats for an off-the-wall challenge, several of the ladies struggle to..."
80,LOGO,2,RuPaul's Drag Race,2:00 PM,3:00 PM,1 hr,2012,TV-14,Game-Show / Reality-TV,4,7,Dragazines,"The ladies are given different magazine covers to recreate, but several of them struggle to find a cohesive design; the judges look for fun and funny magazine covers, but find several that..."
80,LOGO,3,RuPaul's Drag Race,3:00 PM,4:00 PM,1 hr,2012,TV-14,Game-Show / Reality-TV,4,8,Frenemies,"After taking a lie-detector test, the ladies are paired up with each other based on the results and expected to sing a duet; several of the pairs showcase each other's talents, but others fail..."
81,MAGN,1,Maine Cabin Masters,1:00 PM,2:00 PM,1 hr,2020,,Reality-TV,5,1,A Dream Come True,A family of four from Florida needs help renovating their dream home on a scenic lake in Maine if the cabin is going to be able to withstand the winter months and live up to their...
81,MAGN,2,Maine Cabin Masters,2:00 PM,3:00 PM,1 hr,2025,,Reality-TV,10,2,The Russell Cabin's Big Lift,"The team tackles a fifth-generation cabin renovation in addition to staying busy with an ant invasion, a 1960s game show and a basketball showdown while adding bathroom privacy, a charming nap..."
81,MAGN,3,Barnwood Builders,3:00 PM,4:00 PM,1 hr,2024,,Documentary,16,5,"Small Town, Big Dreams","The Barnwood Builders construct a log cabin and timber frame in White Sulphur Springs, W.V., after a devastating flood wrecks the small town with big dreams."
82,MTV-E,1,Ridiculousness,1:30 PM,2:00 PM,30 min,2015,TV-14,Comedy / Reality-TV,7,9,Chanel and Sterling XXII,"Model and actress Charlotte McKinney joins Rob, Sterling and Chanel to cover ""Dirty Secrets,"" ""All Natural Beef"" and ""Spike My Butt."""
82,MTV-E,2,Ridiculousness,2:00 PM,2:30 PM,30 min,2015,TV-14,Comedy / Reality-TV,7,9,Chanel and Sterling XXII,"Model and actress Charlotte McKinney joins Rob, Sterling and Chanel to cover ""Dirty Secrets,"" ""All Natural Beef"" and ""Spike My Butt."""
82,MTV-E,3,Ridiculousness,2:30 PM,3:00 PM,30 min,2021,TV-14,Comedy / Reality-TV,23,23,Chanel and Sterling CCCXCV,"Rob, Chanel and Steelo check out ""Summer Heated,"" ""Snide Salads"" and ""DI-Why?"""
82,MTV-E,4,Ridiculousness,3:00 PM,3:30 PM,30 min,2011,TV-14,Comedy / Reality-TV,48,6,Matthew Mounce,"Rob, Chanel and Sterling present viewers with a series of comedic and outlandish video clips taken from the Internet in segments like ""Unnecessary Combos,"" ""Stay Out of the Water"" and ""Who Put..."
83,MTV2,1,The Fresh Prince of Bel-Air,1:30 PM,2:00 PM,30 min,1996,TV-PG,Comedy,6,21,"I, Stank Hole in One","Hilary butts heads with her co-host when she fills in on a popular national morning talk show; Ashley and Vivian team up for a tennis competition, while Philip and Will do the same for a golf..."
83,MTV2,2,The Wayans Bros.,2:00 PM,2:30 PM,30 min,1997,TV-PG,Comedy,4,8,I Was En Vogue's Love Slave,"When a tabloid publishes a false story that names Marlon as the love slave of the all-female R&B group, En Vogue, the female quartet winds up filing a $25 million lawsuit against Marlon,..."
83,MTV2,3,The Wayans Bros.,2:30 PM,3:00 PM,30 min,1997,TV-PG,Comedy,4,9,Can I Get a Witness?,"The entire family must be placed under police protection after Marlon has become the primary witness to a recent bank robbery, but despite the extra security, the culprit sends his brother to..."
83,MTV2,4,The Wayans Bros.,3:00 PM,3:30 PM,30 min,1997,TV-PG,Comedy,4,10,Ted's Revenge,"Shawn's former boss, who has recently been released from a mental institution, sets out to exact his long-awaited revenge on the unsuspecting Shawn because he blames him for the devastating..."
84,NGC-E,1,Lost Treasures of Rome,1:00 PM,2:00 PM,1 hr,2022,TV-PG,Documentary,1,2,Rome's Sunken Secrets,"Investigators discover traces of a crucial naval battle, using divers, an underwater robot and a crane, they haul a long-lost battleship relic to the surface, and reveal clues of how one..."
